Source Current = 1e-05A, Gate Voltage = 0.2V, Measurement Time = 10s, Measurement interval = 1s 
Time [s],Source Voltage [V],Gate Current [A],Gate voltage [V]
0,20.0004,2.8491e-07,0.2
1,20.0005,2.95639e-07,0.2
2,20.0004,2.94447e-07,0.2
3,20.0004,3.38554e-07,0.2
4,20.0004,3.34978e-07,0.2
5,20.0004,3.43323e-07,0.2
6,20.0004,3.39746e-07,0.2
7,20.0004,3.19481e-07,0.2
8,20.0004,3.19481e-07,0.2
9,20.0004,3.68357e-07,0.2
