Source Current = 1e-05A, Gate Voltage = 0.2V, Measurement Time = 10s, Measurement interval = 1s 
Time [s],Source Voltage [V],Gate Current [A],Gate voltage [V]
0,20.0005,2.89679e-07,0.2
1,20.0004,2.76566e-07,0.2
2,20.0004,2.7895e-07,0.2
3,20.0004,2.70605e-07,0.2
4,20.0004,2.50339e-07,0.2
5,20.0003,2.09808e-07,0.2
6,20.0004,2.20537e-07,0.2
7,20.0004,3.19481e-07,0.2
8,20.0004,2.57492e-07,0.2
9,20.0003,2.64645e-07,0.2
