Source Current = 1e-05A, Gate Voltage = 0.2V, Measurement Time = 10s, Measurement interval = 1s 
Time [s],Source Voltage [V],Gate Current [A],Gate voltage [V]
0,20.0005,2.53916e-07,0.2
1,20.0004,3.01599e-07,0.2
2,20.0004,2.49147e-07,0.2
3,20.0004,2.47955e-07,0.2
4,20.0004,2.87294e-07,0.2
5,20.0005,2.80142e-07,0.2
6,20.0004,3.00407e-07,0.2
7,20.0004,2.75373e-07,0.2
8,20.0004,2.21729e-07,0.2
9,20.0004,2.11e-07,0.2
