Source Current = 1e-05A, Gate Voltage = -0.2V, Measurement Time = 2000s, Measurement interval = 1s 
Time [s],Source Voltage [V],Gate Current [A],Gate Voltage [V]
142,0.0371766,-2.81334e-07,-0.2
143,0.0371838,-2.45571e-07,-0.2
144,0.0371766,-2.51532e-07,-0.2
145,0.0371552,-2.34842e-07,-0.2
146,0.0371575,-2.28882e-07,-0.2
147,0.0371528,-2.15769e-07,-0.2
148,0.0371552,-1.75238e-07,-0.2
149,0.0371623,-2.31266e-07,-0.2
150,0.0371695,-2.43187e-07,-0.2
151,0.0371337,-2.06232e-07,-0.2
152,0.0371456,-1.69277e-07,-0.2
153,0.0371599,-2.06232e-07,-0.2
154,0.0371456,-1.75238e-07,-0.2
155,0.0371242,-1.70469e-07,-0.2
156,0.0371265,-2.34842e-07,-0.2
157,0.0371432,-2.14577e-07,-0.2
158,0.0371099,-2.11e-07,-0.2
159,0.0371313,-2.20537e-07,-0.2
160,0.037148,-2.25306e-07,-0.2
161,0.0371194,-2.03848e-07,-0.2
162,0.0370932,-2.41995e-07,-0.2
163,0.0371313,-2.52724e-07,-0.2
164,0.0371265,-2.74181e-07,-0.2
165,0.0371075,-2.21729e-07,-0.2
166,0.0371146,-2.71797e-07,-0.2
167,0.0370955,-2.80142e-07,-0.2
168,0.0370884,-2.52724e-07,-0.2
169,0.0371051,-2.51532e-07,-0.2
170,0.0370932,-2.55108e-07,-0.2
171,0.0370908,-2.58684e-07,-0.2
172,0.0371289,-1.97887e-07,-0.2
173,0.0371265,-2.2769e-07,-0.2
174,0.0370884,-2.16961e-07,-0.2
175,0.0371122,-2.13385e-07,-0.2
176,0.0371027,-2.02656e-07,-0.2
177,0.0370836,-2.15769e-07,-0.2
178,0.0370955,-1.89543e-07,-0.2
179,0.0370884,-1.84774e-07,-0.2
180,0.0370884,-1.89543e-07,-0.2
181,0.0371122,-1.81198e-07,-0.2
182,0.0370932,-1.57356e-07,-0.2
183,0.0370765,-1.52588e-07,-0.2
184,0.0370765,-1.93119e-07,-0.2
185,0.0370955,-1.7643e-07,-0.2
186,0.0370741,-1.75238e-07,-0.2
187,0.0370812,-1.71661e-07,-0.2
188,0.037086,-1.96695e-07,-0.2
189,0.0370717,-1.93119e-07,-0.2
190,0.0370884,-2.06232e-07,-0.2
191,0.0370836,-1.7643e-07,-0.2
192,0.037055,-2.47955e-07,-0.2
193,0.0370908,-1.87159e-07,-0.2
194,0.0370598,-2.13385e-07,-0.2
195,0.0370622,-1.37091e-07,-0.2
196,0.037055,-1.5974e-07,-0.2
197,0.0370574,-1.65701e-07,-0.2
198,0.0370455,-1.66893e-07,-0.2
199,0.037055,-2.08616e-07,-0.2
200,0.037055,-1.88351e-07,-0.2
201,0.0370526,-1.77622e-07,-0.2
202,0.0370431,-1.75238e-07,-0.2
203,0.0370479,-1.5974e-07,-0.2
204,0.0370312,-1.56164e-07,-0.2
205,0.0370431,-1.87159e-07,-0.2
206,0.0370407,-2.08616e-07,-0.2
207,0.0370479,-1.56164e-07,-0.2
208,0.0370502,-1.89543e-07,-0.2
209,0.0370097,-1.50204e-07,-0.2
210,0.0370049,-1.72853e-07,-0.2
211,0.0370026,-1.64509e-07,-0.2
212,0.0370121,-1.83582e-07,-0.2
213,0.0370288,-1.70469e-07,-0.2
214,0.0370049,-1.57356e-07,-0.2
215,0.0370026,-2.39611e-07,-0.2
216,0.0369978,-2.31266e-07,-0.2
217,0.0369883,-1.49012e-07,-0.2
218,0.0370026,-1.69277e-07,-0.2
219,0.0369859,-1.68085e-07,-0.2
220,0.0369883,-1.85966e-07,-0.2
221,0.0370121,-2.00272e-07,-0.2
222,0.0370002,-2.08616e-07,-0.2
223,0.0369787,-2.00272e-07,-0.2
224,0.0369859,-1.57356e-07,-0.2
225,0.0369763,-1.83582e-07,-0.2
226,0.0369954,-2.01464e-07,-0.2
227,0.0369763,-2.43187e-07,-0.2
228,0.0369906,-2.14577e-07,-0.2
229,0.0369811,-2.13385e-07,-0.2
230,0.0369763,-1.70469e-07,-0.2
231,0.0369859,-1.8239e-07,-0.2
232,0.0369787,-1.97887e-07,-0.2
233,0.0369787,-1.81198e-07,-0.2
234,0.0369859,-2.39611e-07,-0.2
235,0.0369906,-2.39611e-07,-0.2
236,0.036962,-1.74046e-07,-0.2
237,0.0369787,-2.39611e-07,-0.2
238,0.0369859,-1.89543e-07,-0.2
239,0.0369811,-2.52724e-07,-0.2
240,0.036974,-2.32458e-07,-0.2
241,0.036974,-2.50339e-07,-0.2
242,0.036974,-2.57492e-07,-0.2
243,0.0369406,-2.74181e-07,-0.2
244,0.0369501,-2.09808e-07,-0.2
245,0.0369596,-2.46763e-07,-0.2
246,0.0369525,-2.21729e-07,-0.2
247,0.0369358,-1.77622e-07,-0.2
248,0.0369406,-2.11e-07,-0.2
249,0.0369263,-2.16961e-07,-0.2
