Source Current = 1e-05A, Gate Voltage = -0.2V, Measurement Time = 10s, Measurement interval = 1s 
Time [s],Source Voltage [V],Gate Current [A],Gate Voltage [V]
0,0.044899,7.51019e-08,-0.2
1,0.0447965,1.09673e-07,-0.2
2,0.0447679,8.10623e-08,-0.2
3,0.0447702,1.07288e-07,-0.2
4,0.0447774,6.55651e-08,-0.2
5,0.0447917,4.29153e-08,-0.2
6,0.0447631,7.98702e-08,-0.2
7,0.0447655,8.82149e-08,-0.2
8,0.0447512,-3.57628e-09,-0.2
9,0.0447702,5.24521e-08,-0.2
