Source Current = 1e-05A, Gate Voltage = 0.2V, Measurement Time = 10s, Measurement interval = 1s 
Time [s],Source Voltage [V],Gate Current [A],Gate voltage [V]
0,20.0004,3.46899e-07,0.2
1,20.0004,3.26633e-07,0.2
2,20.0003,3.40939e-07,0.2
3,20.0004,3.60012e-07,0.2
4,20.0003,3.31402e-07,0.2
5,20.0003,3.85046e-07,0.2
6,20.0003,3.89814e-07,0.2
7,20.0004,3.46899e-07,0.2
8,20.0004,3.37362e-07,0.2
9,20.0004,3.0756e-07,0.2
