Applied Voltage = N/AV, Current HI = 1e-05A, Current LO = 1e-09A, Interval = 30000s, Pulse Duration = 200.0s, Measurement Time = 300000s 
Time [s],Voltage [V]
0.0,3.74317e-04
30.0,5.08595e-02
60.0,5.08595e-02
90.0,5.08595e-02
120.0,5.08714e-02
150.0,5.08690e-02
180.0,5.08499e-02
210.0,5.08499e-02
240.0,5.08404e-02
270.0,5.08499e-02
300.0,5.08642e-02
