Applied Voltage = N/AV, Current HI = 1e-05A, Current LO = 0A, Interval = 5000s, Pulse Duration = 200.0s, Measurement Time = 20000s 
Time [s],Voltage [V]
0.0,3.91006e-04
5.0,5.08499e-02
10.0,5.08070e-02
15.0,5.08356e-02
20.0,5.08404e-02
