Applied Voltage = N/AV, Current HI = 1e-05A, Current LO = 0A, Interval = 30000s, Pulse Duration = 200.0s, Measurement Time = 300000s 
Time [s],Voltage [V],Resistance [Ohm]
0.0,0,0
30.0,0,0
60.0,0,0
90.0,0,0
120.0,0,0
150.0,0,0
180.0,0,0
210.0,0,0
240.0,0,0
270.0,0,0
300.0,0,0
