Applied Voltage = N/AV, Current HI = 1e-05A, Current LO = 0A, Interval = 5.0s, Pulse Duration = 0.2s, Measurement Time = 50000s 
Time [s],Voltage [V],Resistance [Ohm]
0.0,20.0004,1229480000.0
5.0,20.0005,1062950000.0
10.0,20.0004,1049580000.0
15.0,20.0004,1085220000.0
20.0,20.0005,1070960000.0
25.0,20.0005,1073010000.0
30.0,20.0004,1088180000.0
35.0,20.0004,4485990000.0
40.0,20.0005,3377140000.0
45.0,20.0005,3399030000.0
