Source Voltage = 0.2A, Gate Voltage Start = -0.2V, Gate Voltage End = 0.8V, Gate Voltage Step = 0.1V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.2,-0.2,1.98763e-08,2.59876e-07
0.2,-0.1,1.9897e-08,2.69413e-07
0.2,0.0,1.98946e-08,3.70741e-07
0.2,0.10000000000000003,1.98985e-08,3.46899e-07
0.2,0.2,1.9882e-08,3.57628e-07
0.2,0.3,1.93901e-08,3.61204e-07
0.2,0.4000000000000001,2.04416e-08,3.63588e-07
0.2,0.5,1.96953e-08,3.09944e-07
0.2,0.6000000000000001,2.00871e-08,3.5286e-07
0.2,0.7,2.34008e-10,3.46899e-07
0.2,0.8,-5.39064e-11,3.93391e-07
0.2,0.7000000000000001,-4.87089e-11,3.68357e-07
0.2,0.6000000000000001,-1.47223e-11,3.77893e-07
0.2,0.5,-2.33412e-11,3.77893e-07
0.2,0.4,-3.03507e-11,3.8147e-07
0.2,0.30000000000000004,-1.10626e-11,3.94583e-07
0.2,0.19999999999999996,5.75781e-12,3.71933e-07
0.2,0.09999999999999998,-1.47343e-11,3.79086e-07
0.2,0.0,3.91006e-12,4.20809e-07
0.2,-0.09999999999999998,-9.65595e-13,2.50339e-07
0.2,-0.19999999999999996,-2.5034e-13,2.89679e-07
