Source Voltage = 0.2A, Gate Voltage Start = -0.8V, Gate Voltage End = 0.2V, Gate Voltage Step = 0.1V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.2,-0.8,6.71744e-11,1.97887e-07
0.2,-0.7000000000000001,9.62019e-12,1.87159e-07
0.2,-0.6000000000000001,3.57628e-12,1.89543e-07
0.2,-0.5,-4.41074e-13,1.50204e-07
0.2,-0.4,4.05312e-13,2.32458e-07
0.2,-0.30000000000000004,1.15633e-12,1.85966e-07
0.2,-0.19999999999999996,2.61068e-12,1.70469e-07
0.2,-0.09999999999999998,2.77758e-12,1.40667e-07
0.2,0.0,1.60933e-12,2.88486e-07
0.2,0.09999999999999998,2.38419e-14,2.30074e-07
0.2,0.2,6.10352e-12,2.81334e-07
0.2,0.1,2.6226e-13,2.67029e-07
0.2,0.0,6.19888e-13,3.06368e-07
0.2,-0.10000000000000003,-2.93255e-12,1.63317e-07
0.2,-0.2,1.87159e-12,1.91927e-07
0.2,-0.3,3.69549e-13,2.20537e-07
0.2,-0.4000000000000001,1.68085e-12,2.15769e-07
0.2,-0.5,5.36442e-13,2.18153e-07
0.2,-0.6000000000000001,2.57492e-12,1.84774e-07
