Gate Voltage = 0A, Source Voltage Start = 0V, Source Voltage End = 0.3V, Source Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.0,0,-3.12165e-08,-1.58906e-06
0.01,0,-3.10152e-08,2.08735e-06
0.02,0,-2.93474e-08,4.24623e-06
0.03,0,-2.8981e-08,6.32405e-06
0.04,0,-3.18504e-08,8.55565e-06
0.05,0,-3.16346e-08,1.07348e-05
0.06,0,-3.1226e-08,1.30236e-05
0.07,0,-3.03198e-08,1.52695e-05
0.08,0,-2.92018e-08,1.74749e-05
0.09,0,-3.16282e-08,1.98185e-05
0.1,0,-3.1081e-08,2.21539e-05
0.11,0,-3.16121e-08,2.45404e-05
0.12,0,-3.11072e-08,2.69568e-05
0.13,0,-3.11696e-08,2.93577e-05
0.14,0,-3.14626e-08,3.18849e-05
0.15,0,-2.97439e-08,3.44551e-05
0.16,0,-3.02343e-08,3.69668e-05
0.17,0,-3.13321e-08,3.95322e-05
0.18,0,-3.07571e-08,4.20952e-05
0.19,0,-3.2117e-08,4.46975e-05
0.2,0,-3.00174e-08,4.73881e-05
0.21,0,-3.11368e-08,5.01585e-05
0.22,0,-3.05321e-08,5.28193e-05
0.23,0,-2.98326e-08,5.55897e-05
0.24,0,-3.1226e-08,5.83792e-05
0.25,0,-2.98602e-08,6.11556e-05
0.26,0,-3.1708e-08,6.39284e-05
0.27,0,-3.12086e-08,6.69932e-05
0.28,0,-3.18916e-08,6.99067e-05
0.29,0,-3.20901e-08,7.28655e-05
0,0.3,-3.16593e-08,7.58898e-05
0,0.29,-3.05569e-08,7.29609e-05
0,0.27999999999999997,-2.9411e-08,7.01058e-05
0,0.27,-3.03593e-08,6.71244e-05
0,0.26,-3.16191e-08,6.42037e-05
0,0.25,-3.05303e-08,6.14142e-05
0,0.24,-2.9169e-08,5.85711e-05
0,0.22999999999999998,-3.01083e-08,5.58448e-05
0,0.21999999999999997,-3.11397e-08,5.31483e-05
0,0.21,-3.13546e-08,5.03159e-05
0,0.19999999999999998,-2.95036e-08,4.7648e-05
0,0.19,-3.16872e-08,4.49228e-05
0,0.18,-2.98857e-08,4.22382e-05
0,0.16999999999999998,-3.06007e-08,3.96121e-05
0,0.15999999999999998,-3.14966e-08,3.70812e-05
0,0.15,-3.19053e-08,3.45922e-05
0,0.13999999999999999,-2.97365e-08,3.20601e-05
0,0.12999999999999998,-3.01316e-08,2.94566e-05
0.10999999999999999,0,-3.11949e-08,2.46215e-05
0.12,0,-3.12569e-08,2.70367e-05
