Gate Voltage = 0.1A, Source Voltage Start = 0V, Source Voltage End = 0.3V, Source Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.0,0.1,-2.45571e-07,-3.27476e-08
0.01,0.1,-1.96695e-07,-3.17994e-08
0.02,0.1,-2.87294e-07,-3.20814e-08
0.03,0.1,-2.06232e-07,-3.12827e-08
0.04,0.1,-2.80142e-07,-3.27363e-08
0.05,0.1,-2.36034e-07,-3.12411e-08
0.06,0.1,-1.5974e-07,-3.18552e-08
0.07,0.1,-2.82526e-07,-3.16265e-08
0.08,0.1,-1.96695e-07,-3.1089e-08
0.09,0.1,-2.32458e-07,-3.1892e-08
0.1,0.1,-1.68085e-07,-3.1631e-08
0.11,0.1,-1.95503e-07,-3.02787e-08
0.12,0.1,-1.64509e-07,-3.00338e-08
0.13,0.1,-2.03848e-07,-2.981e-08
0.14,0.1,-2.14577e-07,-3.11574e-08
0.15,0.1,-8.58307e-08,-3.0623e-08
0.16,0.1,-1.04904e-07,-3.09105e-08
0.17,0.1,-1.15633e-07,-3.09197e-08
0.18,0.1,-1.60933e-07,-3.03867e-08
0.19,0.1,-1.28746e-07,-2.9399e-08
0.2,0.1,-8.82149e-08,-3.12063e-08
0.21,0.1,-1.43051e-07,-3.14083e-08
0.22,0.1,-1.20401e-07,-3.08302e-08
0.23,0.1,-2.06232e-07,-3.04729e-08
0.24,0.1,-2.09808e-07,-2.97945e-08
0.25,0.1,-1.51396e-07,-2.97887e-08
0.26,0.1,-1.88351e-07,-3.06757e-08
0.27,0.1,-2.07424e-07,-3.12926e-08
0.28,0.1,-1.50204e-07,-2.8906e-08
0.29,0.1,-1.4782e-07,-3.04636e-08
0.3,0.1,-3.17596e-08,4.89283e-05
0.29,0.1,-3.09209e-08,4.46844e-05
0.27999999999999997,0.1,-3.1236e-08,4.23741e-05
0.27,0.1,-2.9471e-08,4.01521e-05
0.26,0.1,-3.1716e-08,3.79097e-05
0.25,0.1,-3.01733e-08,3.5795e-05
0.24,0.1,-2.99078e-08,3.38817e-05
0.22999999999999998,0.1,-3.18786e-08,3.18146e-05
0.21999999999999997,0.1,-3.13149e-08,2.98965e-05
0.21,0.1,-2.9206e-08,2.80178e-05
0.19999999999999998,0.1,-3.14682e-08,2.62439e-05
0.19,0.1,-3.07721e-08,2.44248e-05
0.18,0.1,-3.10747e-08,2.27201e-05
0.16999999999999998,0.1,-3.17287e-08,2.10369e-05
0.15999999999999998,0.1,-3.08384e-08,1.9443e-05
0.15,0.1,-3.15475e-08,1.78444e-05
0.13999999999999999,0.1,-3.12566e-08,1.63901e-05
0.12999999999999998,0.1,-3.06169e-08,1.49238e-05
0.12,0.1,-2.95872e-08,1.35517e-05
0.10999999999999999,0.1,-3.25715e-08,1.22333e-05
0.09999999999999998,0.1,-3.02521e-08,1.09065e-05
0.09,0.1,-3.13782e-08,9.67264e-06
0.07999999999999999,0.1,-3.0478e-08,8.43525e-06
0.06999999999999998,0.1,-3.06907e-08,7.28488e-06
0.06,0.1,-3.11914e-08,6.11424e-06
0.04999999999999999,0.1,-3.17259e-08,5.07712e-06
0.03999999999999998,0.1,-3.12215e-08,3.95775e-06
0.02999999999999997,0.1,-3.07521e-08,2.91109e-06
0.019999999999999962,0.1,-3.18596e-08,1.94669e-06
0.010000000000000009,0.1,-3.205e-08,9.35793e-07
0.0,0.1,-3.26508e-08,-2.3365e-07
