Gate Voltage = 0A, Source Voltage Start = 0V, Source Voltage End = 0.3V, Source Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.0,0,-3.11087e-08,-7.1764e-07
0.01,0,-2.88767e-08,2.11835e-06
0.02,0,-3.12168e-08,4.17471e-06
0.03,0,-3.12323e-08,6.3777e-06
0.04,0,-3.06952e-08,8.45551e-06
0.05,0,-3.0379e-08,1.07479e-05
0.06,0,-2.96505e-08,1.29676e-05
0.07,0,-3.1132e-08,1.52552e-05
0.08,0,-3.09458e-08,1.75524e-05
0.09,0,-3.09127e-08,1.9896e-05
0.1,0,-3.18168e-08,2.21789e-05
0.11,0,-3.08459e-08,2.45535e-05
0.12,0,-3.13364e-08,2.69175e-05
0.13,0,-3.10904e-08,2.93064e-05
0.14,0,-3.12059e-08,3.19052e-05
0.15,0,-3.14864e-08,3.43287e-05
0.16,0,-3.12109e-08,3.68679e-05
0.17,0,-3.10621e-08,3.94166e-05
0.18,0,-3.04405e-08,4.20594e-05
0.19,0,-3.05142e-08,4.47071e-05
0.2,0,-3.16e-08,4.73845e-05
0.21,0,-3.08254e-08,5.00715e-05
0.22,0,-3.10708e-08,5.27978e-05
0.23,0,-3.0913e-08,5.55229e-05
0.24,0,-3.09506e-08,5.82743e-05
0.25,0,-3.12178e-08,6.1208e-05
0.26,0,-3.13375e-08,6.40082e-05
0.27,0,-3.17261e-08,6.70433e-05
0.28,0,-2.9955e-08,6.99544e-05
0.29,0,-2.96442e-08,7.28607e-05
0.3,0,-3.0916e-08,7.58028e-05
0.29,0,-3.11356e-08,7.28726e-05
0.27999999999999997,0,-2.99598e-08,6.99306e-05
0.27,0,-3.10665e-08,6.70719e-05
0.26,0,-3.07977e-08,6.4069e-05
0.25,0,-3.05058e-08,6.12485e-05
0.24,0,-3.08727e-08,5.85055e-05
0.22999999999999998,0,-3.17219e-08,5.57637e-05
0.21999999999999997,0,-3.11312e-08,5.30219e-05
0.21,0,-2.99263e-08,5.02741e-05
0.19999999999999998,0,-3.28796e-08,4.76301e-05
0.19,0,-3.20569e-08,4.48513e-05
0.18,0,-3.2194e-08,4.22311e-05
0.16999999999999998,0,-3.14169e-08,3.96955e-05
0.15999999999999998,0,-3.19123e-08,3.71671e-05
0.15,0,-2.97851e-08,3.46255e-05
0.13999999999999999,0,-3.21949e-08,3.20923e-05
0.12999999999999998,0,-3.159e-08,2.94399e-05
0.12,0,-3.03929e-08,2.70057e-05
0.10999999999999999,0,-3.09651e-08,2.4575e-05
0.09999999999999998,0,-3.16352e-08,2.21407e-05
0.09,0,-3.02141e-08,1.98627e-05
0.07999999999999999,0,-2.92291e-08,1.75095e-05
0.06999999999999998,0,-3.22253e-08,1.52397e-05
0.06,0,-3.10632e-08,1.29747e-05
0.04999999999999999,0,-3.09089e-08,1.068e-05
0.03999999999999998,0,-3.09225e-08,8.49962e-06
0.02999999999999997,0,-3.13285e-08,6.2871e-06
0.019999999999999962,0,-3.18868e-08,4.12822e-06
0.010000000000000009,0,-3.19855e-08,2.01821e-06
0.0,0,-3.2999e-08,-3.48091e-07
