Source Voltage = 0.2A, Gate Voltage Start = -0.2V, Gate Voltage End = 0.8V, Gate Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.2,-0.2,0.000114593,-0.000150841
0.2,-0.19,0.000116896,-3.31044e-06
0.2,-0.18000000000000002,0.000118023,-5.84125e-08
0.2,-0.17,0.000118235,1.75834e-06
0.2,-0.16,0.000118036,2.7585e-06
0.2,-0.15000000000000002,0.000117501,3.25441e-06
0.2,-0.14,0.000116763,3.73244e-06
0.2,-0.13,0.000115877,4.07338e-06
0.2,-0.12000000000000001,0.000114828,4.61102e-06
0.2,-0.11000000000000001,0.000113675,4.8542e-06
0.2,-0.1,0.000112545,5.17726e-06
0.2,-0.09000000000000001,0.000111284,5.5182e-06
0.2,-0.08000000000000002,0.000109968,5.97477e-06
0.2,-0.07,0.000108631,6.20961e-06
0.2,-0.06,0.000107236,6.50048e-06
0.2,-0.05000000000000002,0.000105807,6.80327e-06
0.2,-0.04000000000000001,0.00010415,6.76632e-06
0.2,-0.03,0.000102647,6.98686e-06
0.2,-0.020000000000000018,0.000101164,7.26581e-06
0.2,-0.010000000000000009,9.98359e-05,8.15868e-06
0.2,0.0,9.81013e-05,7.88689e-06
0.2,0.009999999999999981,9.6529e-05,8.3065e-06
0.2,0.01999999999999999,9.51416e-05,9.29475e-06
0.2,0.03,9.33169e-05,9.00745e-06
0.2,0.03999999999999998,9.19069e-05,1.00827e-05
0.2,0.04999999999999999,9.00126e-05,9.89318e-06
0.2,0.06,8.82483e-05,1.01292e-05
0.2,0.07,8.65392e-05,1.04952e-05
0.2,0.08000000000000002,8.50743e-05,1.16873e-05
0.2,0.08999999999999997,8.31186e-05,1.12998e-05
0.2,0.09999999999999998,8.13812e-05,1.14989e-05
0.2,0.10999999999999999,7.9614e-05,1.17457e-05
0.2,0.12,7.7881e-05,1.19889e-05
0.2,0.13,7.63146e-05,1.3274e-05
0.2,0.14,7.43719e-05,1.26028e-05
0.2,0.15000000000000002,7.25384e-05,1.27745e-05
0.2,0.15999999999999998,7.0739e-05,1.28675e-05
0.2,0.16999999999999998,6.88786e-05,1.31142e-05
0.2,0.18,6.70445e-05,1.31106e-05
0.2,0.19,6.5202e-05,1.30892e-05
0.2,0.2,6.36201e-05,1.42503e-05
0.2,0.21000000000000002,6.16192e-05,1.3504e-05
0.2,0.21999999999999997,5.97707e-05,1.34492e-05
0.2,0.22999999999999998,5.7947e-05,1.34909e-05
0.2,0.24,5.61127e-05,1.34993e-05
0.2,0.25,5.42366e-05,1.36483e-05
0.2,0.26,5.23913e-05,1.35088e-05
0.2,0.27,5.06215e-05,1.33789e-05
0.2,0.27999999999999997,4.9039e-05,1.44494e-05
0.2,0.29,4.71247e-05,1.37067e-05
0.2,0.3,4.54396e-05,1.34635e-05
0.2,0.31,4.37492e-05,1.33169e-05
0.2,0.32,4.21391e-05,1.31917e-05
0.2,0.33,4.05765e-05,1.31106e-05
0.2,0.34,3.91059e-05,1.29187e-05
0.2,0.35000000000000003,3.77367e-05,1.28126e-05
0.2,0.36000000000000004,3.64026e-05,1.26648e-05
0.2,0.37000000000000005,3.51329e-05,1.261e-05
0.2,0.37999999999999995,3.40563e-05,1.24478e-05
0.2,0.38999999999999996,3.29867e-05,1.32358e-05
0.2,0.39999999999999997,3.2074e-05,1.25217e-05
0.2,0.41,3.11531e-05,1.35243e-05
0.2,0.42,3.04139e-05,1.26076e-05
0.2,0.43,2.96778e-05,1.33884e-05
0.2,0.44,2.91371e-05,1.25396e-05
