Source Voltage = 0.2A, Gate Voltage Start = -0.2V, Gate Voltage End = 0.8V, Gate Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.2,-0.2,5.43924e-05,-6.22272e-05
0.2,-0.19,5.61167e-05,-7.35998e-06
0.2,-0.18000000000000002,5.58703e-05,-5.26071e-06
0.2,-0.17,5.55119e-05,-4.19617e-06
0.2,-0.16,5.5087e-05,-3.54409e-06
0.2,-0.15000000000000002,5.46414e-05,-2.91467e-06
0.2,-0.14,5.41684e-05,-2.43068e-06
0.2,-0.13,5.37091e-05,-2.08974e-06
0.2,-0.12000000000000001,5.31983e-05,-1.65105e-06
0.2,-0.11000000000000001,5.26663e-05,-1.30892e-06
0.2,-0.1,5.21512e-05,-9.98974e-07
0.2,-0.09000000000000001,5.16141e-05,-8.04663e-07
0.2,-0.08000000000000002,5.10663e-05,-4.99487e-07
0.2,-0.07,5.05572e-05,-2.80142e-07
0.2,-0.06,5.00276e-05,-7.7486e-08
0.2,-0.05000000000000002,4.94995e-05,5.09024e-07
0.2,-0.04000000000000001,4.89396e-05,7.58171e-07
0.2,-0.03,4.84108e-05,9.2268e-07
0.2,-0.020000000000000018,4.78512e-05,1.15871e-06
0.2,-0.010000000000000009,4.72798e-05,1.48177e-06
0.2,0.0,4.67475e-05,1.88351e-06
0.2,0.009999999999999981,4.61968e-05,2.20299e-06
0.2,0.01999999999999999,4.56075e-05,2.65121e-06
0.2,0.03,4.50069e-05,3.20077e-06
0.2,0.03999999999999998,4.4439e-05,4.06861e-06
0.2,0.04999999999999999,4.3865e-05,5.65529e-06
0.2,0.06,4.33433e-05,8.20637e-06
0.2,0.07,4.29062e-05,1.2325e-05
0.2,0.08000000000000002,4.24863e-05,1.74701e-05
0.2,0.08999999999999997,4.19814e-05,2.16353e-05
0.2,0.09999999999999998,4.12681e-05,2.06268e-05
0.2,0.10999999999999999,4.0791e-05,2.48742e-05
0.2,0.12,4.00002e-05,2.36058e-05
0.2,0.13,3.87518e-05,1.50204e-05
0.2,0.14,3.7484e-05,5.67079e-06
0.2,0.15000000000000002,3.65872e-05,3.91006e-06
0.2,0.15999999999999998,3.57689e-05,3.83973e-06
0.2,0.16999999999999998,3.49044e-05,3.65973e-06
0.2,0.18,3.40799e-05,3.58462e-06
0.2,0.19,3.32242e-05,3.65376e-06
0.2,0.2,3.23866e-05,3.63588e-06
0.2,0.21000000000000002,3.14836e-05,3.46899e-06
0.2,0.21999999999999997,3.06429e-05,3.50714e-06
0.2,0.22999999999999998,2.97985e-05,3.34382e-06
0.2,0.24,2.89404e-05,3.3474e-06
0.2,0.25,2.80699e-05,3.40939e-06
0.2,0.26,2.72279e-05,3.46422e-06
0.2,0.27,2.64093e-05,3.53694e-06
0.2,0.27999999999999997,2.56025e-05,3.5727e-06
0.2,0.29,2.47867e-05,3.75986e-06
0.2,0.3,2.40198e-05,3.79324e-06
0.2,0.31,2.32672e-05,3.85284e-06
0.2,0.32,2.25435e-05,3.92675e-06
0.2,0.33,2.18316e-05,3.94821e-06
0.2,0.34,2.11723e-05,4.01258e-06
0.2,0.35000000000000003,2.05628e-05,4.07577e-06
0.2,0.36000000000000004,1.99897e-05,4.07815e-06
0.2,0.37000000000000005,1.94381e-05,4.0102e-06
0.2,0.37999999999999995,1.89549e-05,3.85761e-06
0.2,0.38999999999999996,1.85183e-05,3.91006e-06
0.2,0.39999999999999997,1.81391e-05,3.89457e-06
0.2,0.41,1.77913e-05,3.84688e-06
0.2,0.42,1.75162e-05,3.73125e-06
0.2,0.43,1.72666e-05,3.72291e-06
0.2,0.44,1.70728e-05,3.69668e-06
0.2,0.45,1.69044e-05,3.68237e-06
0.2,0.46,1.67734e-05,3.53336e-06
0.2,0.47000000000000003,1.66757e-05,3.58105e-06
0.2,0.48000000000000004,1.66103e-05,3.68595e-06
0.2,0.49000000000000005,1.6557e-05,3.77774e-06
0.2,0.5,1.65203e-05,3.93868e-06
0.2,0.51,1.65042e-05,4.14968e-06
0.2,0.52,1.65062e-05,4.32014e-06
0.2,0.53,1.65133e-05,4.55618e-06
0.2,0.54,1.65337e-05,4.80056e-06
0.2,0.55,1.6564e-05,5.0807e-06
0.2,0.56,1.66159e-05,5.26667e-06
0.2,0.5700000000000001,1.6688e-05,5.56111e-06
0.2,0.5800000000000001,1.67558e-05,5.759e-06
0.2,0.5900000000000001,1.68334e-05,5.91516e-06
0.2,0.6000000000000001,1.69262e-05,6.15358e-06
0.2,0.6100000000000001,1.70346e-05,6.37889e-06
0.2,0.6200000000000001,1.71461e-05,6.54459e-06
0.2,0.6300000000000001,1.72778e-05,6.74486e-06
0.2,0.6399999999999999,1.74216e-05,6.90818e-06
0.2,0.6499999999999999,1.75757e-05,7.21574e-06
0.2,0.6599999999999999,1.77335e-05,7.45893e-06
0.2,0.6699999999999999,1.79062e-05,7.689e-06
0.2,0.6799999999999999,1.80953e-05,7.87973e-06
0.2,0.69,1.83077e-05,8.17299e-06
0.2,0.7,1.8519e-05,8.42929e-06
0.2,0.71,1.87378e-05,8.59737e-06
0.2,0.72,1.89836e-05,8.79169e-06
0.2,0.73,1.92409e-05,8.98719e-06
0.2,0.74,1.9503e-05,9.16123e-06
0.2,0.75,1.97782e-05,9.22918e-06
0.2,0.76,2.00513e-05,9.35197e-06
0.2,0.77,2.03506e-05,9.41038e-06
0.2,0.78,2.06421e-05,9.42707e-06
0.2,0.79,2.09386e-05,9.49979e-06
0.2,0.8,2.12447e-05,9.55343e-06
0.2,0.79,2.0955e-05,8.77619e-06
0.2,0.78,2.06737e-05,8.3375e-06
0.2,0.77,2.03777e-05,7.9608e-06
0.2,0.76,2.00836e-05,7.61032e-06
0.2,0.75,1.97997e-05,7.30515e-06
0.2,0.74,1.95152e-05,7.03335e-06
0.2,0.73,1.92131e-05,6.83427e-06
0.2,0.7200000000000001,1.89362e-05,6.63638e-06
0.2,0.7100000000000001,1.86726e-05,6.37293e-06
0.2,0.7000000000000001,1.84254e-05,6.12378e-06
0.2,0.6900000000000001,1.81741e-05,5.87344e-06
0.2,0.68,1.79657e-05,5.54562e-06
0.2,0.67,1.77537e-05,5.2464e-06
0.2,0.66,1.75362e-05,5.04971e-06
0.2,0.65,1.73379e-05,4.79698e-06
0.2,0.64,1.71328e-05,4.51326e-06
0.2,0.63,1.69461e-05,4.25458e-06
0.2,0.6200000000000001,1.67672e-05,4.06027e-06
0.2,0.6100000000000001,1.66016e-05,3.80754e-06
