Source Voltage = 0.2A, Gate Voltage Start = -0.2V, Gate Voltage End = 0.8V, Gate Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.2,-0.2,0.000441021,-0.000198944
0.2,-0.19,0.000484098,3.0756e-06
0.2,-0.18000000000000002,0.00049009,5.61595e-06
0.2,-0.17,0.000491354,6.70552e-06
0.2,-0.16,0.000490102,7.56979e-06
0.2,-0.15000000000000002,0.000487814,7.93695e-06
0.2,-0.14,0.000484963,8.37922e-06
0.2,-0.13,0.000348899,1.27077e-05
0.2,-0.12000000000000001,0.000475928,8.29577e-06
0.2,-0.11000000000000001,0.000472996,9.04083e-06
0.2,-0.1,0.00046903,9.41992e-06
0.2,-0.09000000000000001,0.000464715,9.65953e-06
0.2,-0.08000000000000002,0.000460032,1.00172e-05
0.2,-0.07,0.000455246,1.00434e-05
0.2,-0.06,0.000450258,1.02353e-05
0.2,-0.05000000000000002,0.000445002,1.03807e-05
0.2,-0.04000000000000001,0.000439866,1.06418e-05
0.2,-0.03,0.000434293,1.06835e-05
0.2,-0.020000000000000018,0.000428773,1.07563e-05
0.2,-0.010000000000000009,0.000279464,2.99382e-05
0.2,0.0,2.03126e-06,-5.54442e-06
0.2,0.009999999999999981,-5.61925e-06,7.77841e-06
0.2,0.01999999999999999,-6.46894e-06,8.67128e-06
0.2,0.03,-7.11515e-06,9.31382e-06
0.2,0.03999999999999998,-7.30996e-06,9.53436e-06
0.2,0.04999999999999999,-7.67267e-06,9.92417e-06
0.2,0.06,-7.86111e-06,1.00768e-05
0.2,0.07,-8.05096e-06,1.01888e-05
0.2,0.08000000000000002,-8.17939e-06,1.03438e-05
0.2,0.08999999999999997,-8.48466e-06,1.06728e-05
0.2,0.09999999999999998,-8.58224e-06,1.073e-05
0.2,0.10999999999999999,-8.37417e-06,1.08981e-05
0.2,0.12,7.24022e-05,8.32081e-06
0.2,0.13,0.000349258,3.43883e-05
0.2,0.14,0.00033344,1.75118e-05
0.2,0.15000000000000002,0.000323974,1.53494e-05
0.2,0.15999999999999998,0.000315877,1.47128e-05
0.2,0.16999999999999998,0.000307999,1.45769e-05
0.2,0.18,0.000300283,1.42789e-05
0.2,0.19,0.000292694,1.40882e-05
0.2,0.2,0.000285126,1.40965e-05
0.2,0.21000000000000002,0.000276522,4.08697e-05
0.2,0.21999999999999997,0.000269713,1.31047e-05
0.2,0.22999999999999998,0.000262789,1.38819e-05
0.2,0.24,0.000255821,1.39427e-05
0.2,0.25,0.000248721,1.41573e-05
0.2,0.26,0.000241895,1.40166e-05
