Source Voltage = 0.05A, Gate Voltage Start = -0.2V, Gate Voltage End = 0.8V, Gate Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.05,-0.2,0.000117527,-0.000153234
0.05,-0.19,0.000107143,4.49061e-06
0.05,-0.18000000000000002,0.000107602,6.48737e-06
0.05,-0.17,0.000107289,7.40767e-06
0.05,-0.16,0.00010639,8.04305e-06
0.05,-0.15000000000000002,0.000105459,8.34227e-06
0.05,-0.14,0.000104434,8.67248e-06
0.05,-0.13,0.000103449,8.92401e-06
0.05,-0.12000000000000001,0.000102233,9.19223e-06
0.05,-0.11000000000000001,0.000101066,9.34243e-06
0.05,-0.1,9.98336e-05,9.49383e-06
0.05,-0.09000000000000001,9.8411e-05,9.62734e-06
0.05,-0.08000000000000002,9.69481e-05,9.94682e-06
0.05,-0.07,9.56038e-05,1.00267e-05
0.05,-0.06,9.43416e-05,1.00672e-05
0.05,-0.05000000000000002,9.30597e-05,1.01972e-05
0.05,-0.04000000000000001,9.14411e-05,1.04427e-05
0.05,-0.03,8.99471e-05,1.04547e-05
0.05,-0.020000000000000018,8.845e-05,1.06204e-05
0.05,-0.010000000000000009,8.69076e-05,1.07074e-05
0.05,0.0,8.54823e-05,1.07467e-05
0.05,0.009999999999999981,8.39273e-05,1.09553e-05
0.05,0.01999999999999999,8.25136e-05,1.10555e-05
0.05,0.03,8.08519e-05,1.11151e-05
0.05,0.03999999999999998,7.92523e-05,1.11985e-05
0.05,0.04999999999999999,7.76571e-05,1.14083e-05
0.05,0.06,7.60953e-05,1.1369e-05
0.05,0.07,7.44737e-05,1.14417e-05
0.05,0.08000000000000002,7.28465e-05,1.14036e-05
0.05,0.08999999999999997,7.10844e-05,1.15454e-05
0.05,0.09999999999999998,6.93967e-05,1.14965e-05
0.05,0.10999999999999999,6.77863e-05,1.14989e-05
0.05,0.12,6.6067e-05,1.15073e-05
0.05,0.13,6.42957e-05,1.16181e-05
0.05,0.14,6.26298e-05,1.14501e-05
0.05,0.15000000000000002,6.09209e-05,1.14763e-05
