Source Voltage = 0.2A, Gate Voltage Start = -0.2V, Gate Voltage End = 0.8V, Gate Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.2,-0.2,3.14844e-05,-0.000132529
0.2,-0.19,3.26425e-05,4.1008e-07
0.2,-0.18000000000000002,3.24012e-05,1.75238e-06
0.2,-0.17,3.20859e-05,2.2614e-06
0.2,-0.16,3.17241e-05,2.68221e-06
0.2,-0.15000000000000002,3.13497e-05,2.96712e-06
0.2,-0.14,3.10086e-05,3.196e-06
0.2,-0.13,3.06258e-05,3.44753e-06
0.2,-0.12000000000000001,3.02573e-05,3.7241e-06
0.2,-0.11000000000000001,2.99024e-05,3.91483e-06
0.2,-0.1,2.95436e-05,4.1759e-06
0.2,-0.09000000000000001,2.91968e-05,4.35591e-06
0.2,-0.08000000000000002,2.88325e-05,4.68731e-06
0.2,-0.07,2.84681e-05,4.82202e-06
0.2,-0.06,2.81094e-05,5.09024e-06
0.2,-0.05000000000000002,2.77438e-05,5.3215e-06
0.2,-0.04000000000000001,2.74145e-05,5.66483e-06
0.2,-0.03,2.702e-05,5.81145e-06
0.2,-0.020000000000000018,2.66755e-05,6.11424e-06
0.2,-0.010000000000000009,2.63335e-05,6.32048e-06
0.2,0.0,2.59962e-05,6.54459e-06
0.2,0.009999999999999981,2.56713e-05,6.92368e-06
0.2,0.01999999999999999,2.53236e-05,7.22527e-06
0.2,0.03,2.49775e-05,7.47681e-06
0.2,0.03999999999999998,2.46553e-05,7.72357e-06
0.2,0.04999999999999999,2.43163e-05,8.29935e-06
0.2,0.06,2.39836e-05,8.50558e-06
0.2,0.07,2.36604e-05,8.77976e-06
0.2,0.08000000000000002,2.33217e-05,9.02653e-06
0.2,0.08999999999999997,2.29868e-05,9.47237e-06
0.2,0.09999999999999998,2.26706e-05,9.71556e-06
0.2,0.10999999999999999,2.23483e-05,9.99927e-06
0.2,0.12,2.20556e-05,1.02687e-05
0.2,0.13,2.17611e-05,1.09577e-05
0.2,0.14,2.14089e-05,1.08945e-05
0.2,0.15000000000000002,2.11139e-05,1.10018e-05
0.2,0.15999999999999998,2.08123e-05,1.11544e-05
0.2,0.16999999999999998,2.05011e-05,1.14286e-05
0.2,0.18,2.02016e-05,1.17123e-05
0.2,0.19,1.98963e-05,1.14667e-05
0.2,0.2,1.96061e-05,1.16563e-05
0.2,0.21000000000000002,1.92967e-05,1.20866e-05
0.2,0.21999999999999997,1.90402e-05,1.13428e-05
0.2,0.22999999999999998,1.87508e-05,1.1344e-05
0.2,0.24,1.84765e-05,1.11449e-05
0.2,0.25,1.82092e-05,1.1133e-05
0.2,0.26,1.79719e-05,1.09684e-05
0.2,0.27,1.77163e-05,1.09434e-05
0.2,0.27999999999999997,1.74807e-05,1.08242e-05
0.2,0.29,1.72665e-05,1.08182e-05
0.2,0.3,1.70392e-05,1.08016e-05
0.2,0.31,1.68452e-05,1.07145e-05
0.2,0.32,1.66451e-05,1.05524e-05
0.2,0.33,1.64501e-05,1.05155e-05
0.2,0.34,1.6287e-05,1.0426e-05
0.2,0.35000000000000003,1.61305e-05,1.02484e-05
0.2,0.36000000000000004,1.60162e-05,1.02365e-05
0.2,0.37000000000000005,1.59017e-05,1.03295e-05
0.2,0.37999999999999995,1.58054e-05,1.01709e-05
0.2,0.38999999999999996,1.57437e-05,1.01316e-05
0.2,0.39999999999999997,1.56869e-05,1.01709e-05
0.2,0.41,1.56474e-05,1.02437e-05
0.2,0.42,1.56321e-05,1.01197e-05
0.2,0.43,1.56771e-05,1.00803e-05
0.2,0.44,1.56677e-05,1.00851e-05
0.2,0.45,1.57308e-05,1.01387e-05
0.2,0.46,1.57981e-05,1.00017e-05
0.2,0.47000000000000003,1.58686e-05,1.00219e-05
0.2,0.48000000000000004,1.59627e-05,9.97066e-06
0.2,0.49000000000000005,1.60805e-05,1.0072e-05
0.2,0.5,1.62132e-05,1.00076e-05
0.2,0.51,1.6364e-05,9.99927e-06
0.2,0.52,1.65052e-05,1.00052e-05
0.2,0.53,1.66673e-05,1.02568e-05
0.2,0.54,1.68497e-05,1.02389e-05
0.2,0.55,1.70218e-05,1.03474e-05
0.2,0.56,1.72111e-05,1.03939e-05
0.2,0.5700000000000001,1.7425e-05,1.06299e-05
0.2,0.5800000000000001,1.76502e-05,1.06907e-05
0.2,0.5900000000000001,1.78849e-05,1.08194e-05
0.2,0.6000000000000001,1.8086e-05,1.09851e-05
0.2,0.6100000000000001,1.83154e-05,1.1245e-05
0.2,0.6200000000000001,1.85559e-05,1.14477e-05
0.2,0.6300000000000001,1.88102e-05,1.16515e-05
0.2,0.6399999999999999,1.90479e-05,1.19364e-05
0.2,0.6499999999999999,1.92999e-05,1.23203e-05
0.2,0.6599999999999999,1.95484e-05,1.25527e-05
0.2,0.6699999999999999,1.97953e-05,1.30522e-05
0.2,0.6799999999999999,2.0041e-05,1.33562e-05
0.2,0.69,2.0279e-05,1.38223e-05
0.2,0.7,2.05223e-05,1.41644e-05
0.2,0.71,2.07648e-05,1.46568e-05
0.2,0.72,2.09912e-05,1.5161e-05
0.2,0.73,2.12085e-05,1.57964e-05
0.2,0.74,2.14401e-05,1.61874e-05
0.2,0.75,2.17009e-05,1.66702e-05
0.2,0.76,2.18846e-05,1.7153e-05
0.2,0.77,2.20934e-05,1.78242e-05
0.2,0.78,2.2315e-05,1.80972e-05
0.2,0.79,2.25396e-05,1.85657e-05
0.2,0.8,2.27628e-05,1.90282e-05
0.2,0.79,2.34389e-05,1.0097e-05
0.2,0.78,2.359e-05,6.51836e-06
0.2,0.77,2.35952e-05,4.251e-06
0.2,0.76,2.35002e-05,2.58327e-06
0.2,0.75,2.33133e-05,1.67489e-06
0.2,0.74,2.31127e-05,8.66652e-07
