Gate Voltage = -0.1A, Source Voltage Start = 0V, Source Voltage End = 0.3V, Source Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.0,-0.1,2.89679e-07,-3.60596e-06
0.01,-0.1,2.52604e-06,-6.42259e-06
0.02,-0.1,4.89593e-06,-5.55431e-06
0.03,-0.1,7.22766e-06,-5.05962e-06
0.04,-0.1,9.61781e-06,-4.59668e-06
0.05,-0.1,1.19627e-05,-3.94898e-06
0.06,-0.1,1.43516e-05,-3.40588e-06
0.07,-0.1,1.69551e-05,-2.9745e-06
0.08,-0.1,1.94728e-05,-2.6629e-06
0.09,-0.1,2.19858e-05,-2.43708e-06
0.1,-0.1,2.46668e-05,-2.24111e-06
0.11,-0.1,2.72238e-05,-2.05923e-06
0.12,-0.1,2.98309e-05,-1.93224e-06
0.13,-0.1,3.25656e-05,-1.81385e-06
0.14,-0.1,3.53742e-05,-1.71716e-06
0.15,-0.1,3.80552e-05,-1.62882e-06
0.16,-0.1,4.08602e-05,-1.55464e-06
0.17,-0.1,4.37486e-05,-1.4726e-06
0.18,-0.1,4.66621e-05,-1.41165e-06
0.19,-0.1,4.94957e-05,-1.35198e-06
0.2,-0.1,5.25725e-05,-1.28884e-06
0.21,-0.1,5.55956e-05,-1.2378e-06
0.22,-0.1,5.86271e-05,-1.1956e-06
0.23,-0.1,6.1748e-05,-1.14935e-06
0.24,-0.1,6.48367e-05,-1.1146e-06
0.25,-0.1,6.80125e-05,-1.08454e-06
0.26,-0.1,7.11608e-05,-1.04846e-06
0.27,-0.1,7.45773e-05,-1.01884e-06
0.28,-0.1,7.78282e-05,-3.48723e-07
0.29,-0.1,8.11124e-05,-2.75105e-07
0.3,-0.1,8.44014e-05,-2.65792e-07
0.29,-0.1,8.10301e-05,-2.68124e-07
0.27999999999999997,-0.1,7.77876e-05,-2.29998e-07
0.27,-0.1,7.45332e-05,-2.17937e-07
0.26,-0.1,7.12395e-05,-2.12379e-07
0.25,-0.1,6.80733e-05,-2.27125e-07
0.24,-0.1,6.49309e-05,-1.98897e-07
0.22999999999999998,-0.1,6.19054e-05,-1.83164e-07
0.21999999999999997,-0.1,5.88524e-05,-1.58319e-07
0.21,-0.1,5.58031e-05,-1.68372e-07
0.19999999999999998,-0.1,5.28955e-05,-1.43429e-07
0.19,-0.1,4.99177e-05,-1.64962e-07
0.18,-0.1,4.6978e-05,-1.63429e-07
0.16999999999999998,-0.1,4.421e-05,-1.37751e-07
0.15999999999999998,-0.1,4.13489e-05,-1.34493e-07
0.15,-0.1,3.8532e-05,-1.57995e-07
0.13999999999999999,-0.1,3.58176e-05,-1.44266e-07
0.12999999999999998,-0.1,3.30138e-05,-1.60186e-07
0.12,-0.1,3.03125e-05,-1.455e-07
0.10999999999999999,-0.1,2.76542e-05,-1.42181e-07
0.09999999999999998,-0.1,2.49994e-05,-1.25456e-07
0.09,-0.1,2.24459e-05,-1.45653e-07
0.07999999999999999,-0.1,1.9834e-05,-1.19507e-07
0.06999999999999998,-0.1,1.7246e-05,-1.2456e-07
0.06,-0.1,1.4689e-05,-1.13443e-07
0.04999999999999999,-0.1,1.21367e-05,-1.10266e-07
0.03999999999999998,-0.1,9.70244e-06,-1.03774e-07
0.02999999999999997,-0.1,7.25031e-06,-1.28034e-07
0.019999999999999962,-0.1,4.79221e-06,-1.30203e-07
0.010000000000000009,-0.1,2.46763e-06,-1.01876e-07
0.0,-0.1,-3.1352e-07,-1.07232e-07
