Gate Voltage = 0.1A, Source Voltage Start = 0V, Source Voltage End = 0.3V, Source Voltage Step = 0.05V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.0,0.1,-2.98023e-07,2.01984e-05
0.05,0.1,9.20653e-06,2.28418e-06
0.1,0.1,1.91307e-05,1.29148e-06
0.15000000000000002,0.1,2.99692e-05,2.77263e-07
0.2,0.1,4.18055e-05,1.69191e-07
0.3,0.1,6.80983e-05,-2.99817e-08
0.25,0.1,5.38826e-05,-3.04614e-08
0.19999999999999998,0.1,4.11606e-05,-3.01966e-08
0.14999999999999997,0.1,2.94256e-05,-3.14188e-08
0.09999999999999998,0.1,1.85978e-05,-3.04562e-08
0.04999999999999999,0.1,8.75831e-06,-2.94556e-08
