Source Voltage = 0.2A, Gate Voltage Start = -0.2V, Gate Voltage End = 0.8V, Gate Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.2,-0.2,0.000101999,-6.30462e-05
0.2,-0.19,0.000101684,1.82629e-06
0.2,-0.18000000000000002,0.000101202,2.20299e-06
0.2,-0.17,0.000100661,2.47478e-06
0.2,-0.16,0.000100104,2.68459e-06
0.2,-0.15000000000000002,9.94829e-05,2.93732e-06
0.2,-0.14,9.89186e-05,3.12924e-06
0.2,-0.13,9.82682e-05,3.44038e-06
0.2,-0.12000000000000001,9.75634e-05,3.74556e-06
0.2,-0.11000000000000001,9.688e-05,3.90649e-06
0.2,-0.1,9.61612e-05,4.17113e-06
0.2,-0.09000000000000001,9.54225e-05,4.41432e-06
0.2,-0.08000000000000002,9.46941e-05,4.71354e-06
0.2,-0.07,9.39371e-05,5.00917e-06
0.2,-0.06,9.31516e-05,5.26905e-06
0.2,-0.05000000000000002,9.24354e-05,5.85556e-06
0.2,-0.04000000000000001,9.16265e-05,5.81741e-06
0.2,-0.03,9.08598e-05,6.10948e-06
0.2,-0.020000000000000018,9.00734e-05,6.28591e-06
0.2,-0.010000000000000009,8.92765e-05,6.56843e-06
0.2,0.0,8.84977e-05,6.84142e-06
0.2,0.009999999999999981,8.77148e-05,7.12633e-06
0.2,0.01999999999999999,8.69005e-05,7.29084e-06
0.2,0.03,8.61005e-05,7.53045e-06
0.2,0.03999999999999998,8.52882e-05,7.78794e-06
0.2,0.04999999999999999,8.44383e-05,8.01921e-06
0.2,0.06,8.35902e-05,8.11815e-06
0.2,0.07,8.27138e-05,8.31246e-06
0.2,0.08000000000000002,8.18163e-05,8.5783e-06
0.2,0.08999999999999997,8.08776e-05,8.78811e-06
0.2,0.09999999999999998,7.99456e-05,8.98242e-06
0.2,0.10999999999999999,7.89471e-05,9.15766e-06
0.2,0.12,7.79597e-05,9.4378e-06
0.2,0.13,7.69048e-05,9.61781e-06
0.2,0.14,7.58464e-05,9.83e-06
0.2,0.15000000000000002,7.479e-05,9.97543e-06
0.2,0.15999999999999998,7.37369e-05,1.02842e-05
0.2,0.16999999999999998,7.25799e-05,1.04594e-05
0.2,0.18,7.15088e-05,1.06037e-05
0.2,0.19,7.03491e-05,1.0848e-05
0.2,0.2,6.91981e-05,1.10221e-05
0.2,0.21000000000000002,6.79475e-05,1.12319e-05
0.2,0.21999999999999997,6.67325e-05,1.13058e-05
0.2,0.22999999999999998,6.54852e-05,1.15824e-05
0.2,0.24,6.42275e-05,1.17576e-05
0.2,0.25,6.29062e-05,1.20223e-05
0.2,0.26,6.15671e-05,1.21415e-05
0.2,0.27,6.02242e-05,1.22595e-05
0.2,0.27999999999999997,5.88663e-05,1.24168e-05
0.2,0.29,5.74318e-05,1.26672e-05
0.2,0.3,5.60077e-05,1.27125e-05
0.2,0.31,5.45584e-05,1.27947e-05
0.2,0.32,5.30966e-05,1.29342e-05
0.2,0.33,5.15844e-05,1.30486e-05
0.2,0.34,5.00628e-05,1.32656e-05
0.2,0.35000000000000003,4.85641e-05,1.3082e-05
0.2,0.36000000000000004,4.70767e-05,1.30534e-05
0.2,0.37000000000000005,4.55562e-05,1.31047e-05
0.2,0.37999999999999995,4.40502e-05,1.30546e-05
0.2,0.38999999999999996,4.256e-05,1.30022e-05
0.2,0.39999999999999997,4.10934e-05,1.29306e-05
0.2,0.41,3.96273e-05,1.30177e-05
0.2,0.42,3.82109e-05,1.2877e-05
0.2,0.43,3.68519e-05,1.28365e-05
0.2,0.44,3.5574e-05,1.28067e-05
0.2,0.45,3.42854e-05,1.27995e-05
0.2,0.46,3.30901e-05,1.27077e-05
0.2,0.47000000000000003,3.19562e-05,1.26886e-05
0.2,0.48000000000000004,3.08979e-05,1.26958e-05
0.2,0.49000000000000005,2.99011e-05,1.27089e-05
0.2,0.5,2.8991e-05,1.27161e-05
0.2,0.51,2.8127e-05,1.27494e-05
0.2,0.52,2.73648e-05,1.28019e-05
0.2,0.53,2.66034e-05,1.29342e-05
0.2,0.54,2.59495e-05,1.29235e-05
0.2,0.55,2.53545e-05,1.29831e-05
0.2,0.56,2.48024e-05,1.2939e-05
0.2,0.5700000000000001,2.42659e-05,1.31035e-05
0.2,0.5800000000000001,2.37906e-05,1.31989e-05
0.2,0.5900000000000001,2.33681e-05,1.33038e-05
0.2,0.6000000000000001,2.29657e-05,1.34444e-05
0.2,0.6100000000000001,2.25885e-05,1.36662e-05
0.2,0.6200000000000001,2.22629e-05,1.39093e-05
0.2,0.6300000000000001,2.19662e-05,1.41478e-05
0.2,0.6399999999999999,2.16924e-05,1.43635e-05
0.2,0.6499999999999999,2.14232e-05,1.47402e-05
0.2,0.6599999999999999,2.12125e-05,1.49703e-05
0.2,0.6699999999999999,2.09917e-05,1.52576e-05
