Source Voltage = 0.2A, Gate Voltage Start = -0.2V, Gate Voltage End = 0.8V, Gate Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.2,-0.2,0.000173075,-0.000167072
0.2,-0.19,0.000184792,2.91347e-06
0.2,-0.18000000000000002,0.000186332,5.15223e-06
0.2,-0.17,0.000186201,6.11782e-06
0.2,-0.16,0.000185454,6.88672e-06
0.2,-0.15000000000000002,0.000184472,7.20739e-06
0.2,-0.14,0.000183222,7.5376e-06
0.2,-0.13,0.000181803,7.81894e-06
0.2,-0.12000000000000001,0.000180182,8.21233e-06
0.2,-0.11000000000000001,0.000178561,8.3065e-06
0.2,-0.1,0.000176902,8.57353e-06
0.2,-0.09000000000000001,0.000175158,8.77261e-06
0.2,-0.08000000000000002,0.000173298,9.04202e-06
0.2,-0.07,0.000171435,9.10997e-06
0.2,-0.06,0.000169472,9.25899e-06
0.2,-0.05000000000000002,0.000167559,9.36627e-06
0.2,-0.04000000000000001,0.000165447,9.6333e-06
0.2,-0.03,0.000163437,9.63449e-06
0.2,-0.020000000000000018,0.000161276,9.74894e-06
0.2,-0.010000000000000009,0.000159167,9.84311e-06
0.2,0.0,0.00015712,9.90987e-06
0.2,0.009999999999999981,0.000154862,1.01173e-05
0.2,0.01999999999999999,0.000152703,1.01733e-05
0.2,0.03,0.000150468,1.02711e-05
0.2,0.03999999999999998,0.000148145,1.03879e-05
0.2,0.04999999999999999,0.000145765,1.0556e-05
0.2,0.06,0.000143362,1.04451e-05
0.2,0.07,0.000140949,1.04332e-05
0.2,0.08000000000000002,0.000138387,1.05071e-05
0.2,0.08999999999999997,0.00013579,1.09684e-05
0.2,0.09999999999999998,0.000133247,1.06013e-05
0.2,0.10999999999999999,0.000130561,1.06502e-05
0.2,0.12,0.000128011,1.06728e-05
0.2,0.13,0.000125319,1.08039e-05
0.2,0.14,0.000122588,1.0643e-05
0.2,0.15000000000000002,0.000119892,1.0674e-05
0.2,0.15999999999999998,0.00011712,1.06621e-05
0.2,0.16999999999999998,0.000114264,1.08194e-05
0.2,0.18,0.000111413,1.06847e-05
0.2,0.19,0.000108581,1.0705e-05
0.2,0.2,0.000105732,1.06752e-05
0.2,0.21000000000000002,0.000102841,1.08171e-05
0.2,0.21999999999999997,0.000100012,1.06657e-05
0.2,0.22999999999999998,9.7229e-05,1.0643e-05
0.2,0.24,9.44269e-05,1.05834e-05
0.2,0.25,9.15079e-05,1.07026e-05
0.2,0.26,8.86538e-05,1.06394e-05
0.2,0.27,8.58083e-05,1.05703e-05
0.2,0.27999999999999997,8.3092e-05,1.05464e-05
0.2,0.29,8.03313e-05,1.06204e-05
0.2,0.3,7.76938e-05,1.04654e-05
0.2,0.31,7.51326e-05,1.04702e-05
0.2,0.32,7.26895e-05,1.04022e-05
0.2,0.33,7.03464e-05,1.05202e-05
0.2,0.34,6.81733e-05,1.04964e-05
0.2,0.35000000000000003,6.62055e-05,1.04725e-05
0.2,0.36000000000000004,6.43688e-05,1.04868e-05
0.2,0.37000000000000005,6.26534e-05,1.06072e-05
0.2,0.37999999999999995,6.11169e-05,1.05023e-05
0.2,0.38999999999999996,5.97268e-05,1.0488e-05
0.2,0.39999999999999997,5.84199e-05,1.05357e-05
0.2,0.41,5.7252e-05,1.068e-05
0.2,0.42,5.62099e-05,1.06418e-05
0.2,0.43,5.52746e-05,1.06394e-05
0.2,0.44,5.4376e-05,1.07574e-05
0.2,0.45,5.35379e-05,1.09422e-05
0.2,0.46,5.27881e-05,1.09756e-05
0.2,0.47000000000000003,5.20671e-05,1.11151e-05
0.2,0.48000000000000004,5.14231e-05,1.13463e-05
0.2,0.49000000000000005,5.07775e-05,1.16718e-05
0.2,0.5,5.01555e-05,1.18041e-05
0.2,0.51,4.95585e-05,1.19674e-05
0.2,0.52,4.89788e-05,1.21558e-05
0.2,0.53,4.83794e-05,1.24586e-05
0.2,0.54,4.78317e-05,1.24991e-05
0.2,0.55,4.72667e-05,1.26648e-05
0.2,0.56,4.67308e-05,1.28269e-05
0.2,0.5700000000000001,4.61904e-05,1.32167e-05
0.2,0.5800000000000001,4.56833e-05,1.33979e-05
0.2,0.5900000000000001,4.52403e-05,1.37079e-05
0.2,0.6000000000000001,4.47437e-05,1.40059e-05
0.2,0.6100000000000001,4.43229e-05,1.44088e-05
0.2,0.6200000000000001,4.39493e-05,1.46484e-05
0.2,0.6300000000000001,4.35977e-05,1.48916e-05
0.2,0.6399999999999999,4.3277e-05,1.52135e-05
0.2,0.6499999999999999,4.29365e-05,1.55914e-05
0.2,0.6599999999999999,4.26342e-05,1.5825e-05
0.2,0.6699999999999999,4.23357e-05,1.61302e-05
0.2,0.6799999999999999,4.2038e-05,1.63889e-05
0.2,0.69,4.17678e-05,1.68204e-05
0.2,0.7,4.14961e-05,1.71232e-05
0.2,0.71,4.12646e-05,1.74737e-05
0.2,0.72,4.10505e-05,1.7761e-05
0.2,0.73,4.0858e-05,1.82843e-05
0.2,0.74,4.07234e-05,1.85645e-05
0.2,0.75,4.06741e-05,1.91104e-05
0.2,0.76,4.05648e-05,1.94764e-05
0.2,0.77,4.05085e-05,2.00772e-05
0.2,0.78,4.05107e-05,2.03717e-05
0.2,0.79,4.05341e-05,2.08592e-05
0.2,0.8,4.05584e-05,2.13516e-05
0.2,0.79,4.19523e-05,1.15693e-05
0.2,0.78,4.24517e-05,7.21216e-06
0.2,0.77,4.26734e-05,4.46081e-06
0.2,0.76,4.28003e-05,2.50578e-06
0.2,0.75,4.28322e-05,1.33753e-06
0.2,0.74,4.286e-05,3.23057e-07
0.2,0.73,4.28695e-05,-3.05176e-07
0.2,0.7200000000000001,4.292e-05,-8.36849e-07
0.2,0.7100000000000001,4.29525e-05,-1.02043e-06
0.2,0.7000000000000001,4.29716e-05,-1.15156e-06
