Source Voltage = 0.2A, Gate Voltage Start = -0.8V, Gate Voltage End = 0.2V, Gate Voltage Step = 0.1V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.2,-0.8,6.83665e-11,1.51396e-07
0.2,-0.7000000000000001,5.24521e-12,1.64509e-07
0.2,-0.6000000000000001,1.62125e-12,1.45435e-07
0.2,-0.5,2.99215e-12,1.8239e-07
0.2,-0.4,3.93391e-12,1.27554e-07
0.2,-0.30000000000000004,-1.06096e-12,1.51396e-07
0.2,-0.19999999999999996,6.19888e-13,1.68085e-07
0.2,-0.09999999999999998,4.37498e-12,1.35899e-07
0.2,0.0,-1.66893e-13,2.80142e-07
0.2,0.09999999999999998,-1.52588e-12,3.27826e-07
0.2,-0.8,2.51532e-12,1.62125e-07
0.2,-0.9000000000000001,4.02927e-12,1.57356e-07
0.2,-1.0000000000000002,4.52995e-13,1.9908e-07
0.2,-1.1,-1.90735e-12,1.13249e-07
0.2,-1.2000000000000002,3.62396e-12,1.88351e-07
0.2,-1.3,-1.44243e-12,1.2517e-07
0.2,-1.4000000000000001,-3.85046e-12,1.3113e-07
0.2,-1.5000000000000002,3.88622e-12,1.41859e-07
0.2,-1.6,5.23329e-12,1.13249e-07
