Source Voltage = 0.2A, Gate Voltage Start = -0.8V, Gate Voltage End = 0.2V, Gate Voltage Step = 0.1V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.2,-0.8,8.23259e-11,1.54972e-07
0.2,-0.7000000000000001,4.56572e-12,1.34706e-07
0.2,-0.6000000000000001,9.32217e-12,1.2517e-07
0.2,-0.5,-2.26498e-13,1.00136e-07
0.2,-0.4,-4.54187e-12,1.50204e-07
0.2,-0.30000000000000004,4.98295e-12,1.72853e-07
0.2,-0.19999999999999996,6.55651e-13,9.89437e-08
0.2,-0.09999999999999998,7.15256e-14,1.20401e-07
0.2,0.0,1.85966e-12,2.3365e-07
0.2,0.09999999999999998,2.09808e-12,1.94311e-07
0.2,0.2,3.03984e-12,1.9908e-07
0.2,0.1,-1.50204e-12,2.26498e-07
0.2,0.0,2.82526e-12,2.58684e-07
0.2,-0.10000000000000003,1.84774e-12,1.18017e-07
0.2,-0.2,-6.91414e-13,1.81198e-07
0.2,-0.3,1.15633e-12,1.89543e-07
0.2,-0.4000000000000001,2.44379e-12,2.20537e-07
0.2,-0.5,1.60933e-12,1.94311e-07
0.2,-0.6000000000000001,-4.76837e-14,1.60933e-07
0.2,-0.7,-9.89437e-13,2.11e-07
0.2,-0.8,2.11e-12,1.60933e-07
